name,density,regionId
Автономна Республіка Крим,75.48,UA-43
Вінницька область,59.98,UA-05
Волинська область,51.68,UA-07
Дніпропетровська область,101.22,UA-12
Донецька область,160.05,UA-14
Житомирська область,41.58,UA-18
Закарпатська область,98.52,UA-21
Запорізька область,64,UA-23
Івано-Франківська область,99.07,UA-26
Київська область,61.66,UA-32
Кіровоградська область,39.28,UA-35
Луганська область,82.27,UA-09
Львівська область,116.06,UA-46
Миколаївська область,46.76,UA-48
Одеська область,71.65,UA-51
Полтавська область,49.63,UA-53
Рівненська область,58,UA-56
Сумська область,46.34,UA-59
Тернопільська область,76.63,UA-61
Харківська область,85.98,UA-63
Херсонська область,37.09,UA-65
Хмельницька область,62.3,UA-68
Черкаська область,58.91,UA-71
Чернівецька область,112.16,UA-77
Чернігівська область,32.43,UA-74
Київ,358.74,UA-30
Севастополь,357.74,UA-40
